PacketID,EgressPort,PacketSize,Priority,DSCP,Color,VLANID,Sport,Dport
0,2,20,0,0,2,0,0,0
1,2,20,0,0,2,0,0,0
2,3,20,0,0,2,0,0,0
3,3,20,0,0,2,0,0,0
4,3,20,0,0,2,0,0,0
5,3,20,0,0,2,0,0,0
6,3,20,0,0,2,0,0,0
7,3,20,0,0,2,0,0,0
8,2,20,0,0,2,0,0,0
9,2,20,0,0,2,0,0,0
10,3,20,0,0,2,0,0,0
11,3,20,0,0,2,0,0,0
12,3,20,0,32,0,0,0,0
13,3,20,0,32,0,0,0,0
14,2,20,0,46,0,0,0,0
15,2,20,0,46,0,0,0,0
16,2,20,0,48,0,0,0,0
17,2,20,0,48,0,0,0,0
18,2,20,0,0,2,0,0,0
19,2,20,0,0,2,0,0,0
20,4,20,0,46,0,0,0,0
21,4,20,0,46,0,0,0,0
22,3,20,0,16,0,0,0,0
23,3,20,0,16,0,0,0,0
24,2,20,0,46,0,0,0,0
25,2,20,0,46,0,0,0,0
26,3,20,0,34,0,0,0,0
27,3,20,0,34,0,0,0,0
28,3,20,0,16,0,0,0,0
29,3,20,0,16,0,0,0,0
30,2,20,0,0,2,0,0,0
31,2,20,0,0,2,0,0,0
32,4,20,0,40,0,0,0,0
33,4,20,0,40,0,0,0,0
34,3,20,0,8,0,0,0,0
35,3,20,0,8,0,0,0,0
36,2,20,0,10,2,0,0,0
37,2,20,0,10,2,0,0,0
38,4,20,0,8,0,0,0,0
39,4,20,0,8,0,0,0,0
